skill,snippet,true_level
Web Development,I completed an introductory course on Web Development.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
SQL,I just started learning SQL and can do simple tasks like SELECT queries.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like neural networks.,Beginner
Web Development,I can write very basic Web Development programs involving deployment.,Beginner
Communication,I can write very basic Communication programs involving presentations.,Beginner
Data Science,I can write very basic Data Science programs involving deep learning.,Beginner
Cloud,I can write very basic Cloud programs involving cloud architecture.,Beginner
Python,I can write very basic Python programs involving automation.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like network basics.,Beginner
SQL,I just started learning SQL and can do simple tasks like INSERT queries.,Beginner
SQL,I can write very basic SQL programs involving joins.,Beginner
Cloud,I can write very basic Cloud programs involving basic concepts.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving NLP models.,Beginner
Communication,I can write very basic Communication programs involving introductions.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Python,I just started learning Python and can do simple tasks like printing Hello World.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
SQL,I just started learning SQL and can do simple tasks like INSERT queries.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Communication,I can write very basic Communication programs involving technical communication.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like data visualization.,Beginner
SQL,I can write very basic SQL programs involving optimizing queries.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Java,I can write very basic Java programs involving multithreading.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Java,I just started learning Java and can do simple tasks like JVM tuning.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
SQL,I can write very basic SQL programs involving subqueries.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving encryption.,Beginner
Data Science,I can write very basic Data Science programs involving data visualization.,Beginner
Python,I completed an introductory course on Python.,Beginner
Cloud,I can write very basic Cloud programs involving cloud architecture.,Beginner
Web Development,I can write very basic Web Development programs involving deployment.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Java,I just started learning Java and can do simple tasks like multithreading.,Beginner
Data Science,I can write very basic Data Science programs involving model training.,Beginner
Cloud,I can write very basic Cloud programs involving cloud architecture.,Beginner
Communication,I can write very basic Communication programs involving presentations.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like NLP models.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Java,I just started learning Java and can do simple tasks like multithreading.,Beginner
Web Development,I can write very basic Web Development programs involving frontend frameworks.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Python,I completed an introductory course on Python.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
SQL,I can write very basic SQL programs involving INSERT queries.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like deep learning.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like deployment.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Communication,I can write very basic Communication programs involving mentoring.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
SQL,I just started learning SQL and can do simple tasks like INSERT queries.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Java,I can write very basic Java programs involving Spring Boot apps.,Beginner
Cloud,I just started learning Cloud and can do simple tasks like basic concepts.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like security testing.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Cloud,I can write very basic Cloud programs involving deploying apps.,Beginner
Communication,I just started learning Communication and can do simple tasks like introductions.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Java,I just started learning Java and can do simple tasks like enterprise applications.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Data Science,I can write very basic Data Science programs involving model training.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Java,I just started learning Java and can do simple tasks like OOP concepts.,Beginner
Java,I can write very basic Java programs involving Spring Boot apps.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Cloud,I can write very basic Cloud programs involving deploying apps.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Java,I just started learning Java and can do simple tasks like enterprise applications.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
SQL,I just started learning SQL and can do simple tasks like joins.,Beginner
Communication,I just started learning Communication and can do simple tasks like introductions.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving deep learning.,Beginner
Java,I completed an introductory course on Java.,Beginner
Communication,I just started learning Communication and can do simple tasks like mentoring.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like training models.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving network basics.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Java,I can write very basic Java programs involving enterprise applications.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
Communication,I just started learning Communication and can do simple tasks like presentations.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving threat detection.,Beginner
Cloud,I can write very basic Cloud programs involving serverless computing.,Beginner
Cloud,I can write very basic Cloud programs involving serverless computing.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like full-stack apps.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Java,I just started learning Java and can do simple tasks like multithreading.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving training models.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like linear regression.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like HTML/CSS basics.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving NLP models.,Beginner
Web Development,I can write very basic Web Development programs involving full-stack apps.,Beginner
Cloud,I just started learning Cloud and can do simple tasks like basic concepts.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like linear regression.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Python,I completed an introductory course on Python.,Beginner
Python,I just started learning Python and can do simple tasks like building Flask apps.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving threat detection.,Beginner
Data Science,I can write very basic Data Science programs involving data visualization.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like HTML/CSS basics.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Python,I just started learning Python and can do simple tasks like building Flask apps.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving linear regression.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving incident response.,Beginner
Data Science,I can write very basic Data Science programs involving model training.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like REST APIs.,Beginner
Cloud,I can write very basic Cloud programs involving scalability.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
SQL,I can write very basic SQL programs involving INSERT queries.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Communication,I just started learning Communication and can do simple tasks like introductions.,Beginner
Data Science,I can write very basic Data Science programs involving deep learning.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
SQL,I just started learning SQL and can do simple tasks like SELECT queries.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Python,I just started learning Python and can do simple tasks like building Flask apps.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like neural networks.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving incident response.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like threat detection.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving network basics.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like deployment.,Beginner
Java,I completed an introductory course on Java.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like model training.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Cloud,I can write very basic Cloud programs involving scalability.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving deep learning.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving training models.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Cloud,I can write very basic Cloud programs involving cloud architecture.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like incident response.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like threat detection.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like feature engineering.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like encryption.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like deep learning.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving NLP models.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Web Development,I can write very basic Web Development programs involving REST APIs.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Cloud,I completed an introductory course on Cloud.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
SQL,I can write very basic SQL programs involving subqueries.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Java,I completed an introductory course on Java.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Java,I completed an introductory course on Java.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Cloud,I can write very basic Cloud programs involving basic concepts.,Beginner
Java,I completed an introductory course on Java.,Beginner
Communication,I just started learning Communication and can do simple tasks like presentations.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Python,I completed an introductory course on Python.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like network basics.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Python,I completed an introductory course on Python.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Web Development,I can write very basic Web Development programs involving REST APIs.,Beginner
Java,I completed an introductory course on Java.,Beginner
Communication,I just started learning Communication and can do simple tasks like presentations.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving network basics.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving neural networks.,Beginner
Java,I can write very basic Java programs involving OOP concepts.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Java,I completed an introductory course on Java.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
SQL,I just started learning SQL and can do simple tasks like INSERT queries.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like HTML/CSS basics.,Beginner
Python,I can write very basic Python programs involving automation.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Cloud,I just started learning Cloud and can do simple tasks like basic concepts.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Data Science,I can write very basic Data Science programs involving data visualization.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Cloud,I can write very basic Cloud programs involving scalability.,Beginner
Communication,I just started learning Communication and can do simple tasks like introductions.,Beginner
Cloud,I just started learning Cloud and can do simple tasks like cloud architecture.,Beginner
Cloud,I can write very basic Cloud programs involving scalability.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like neural networks.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving security testing.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Java,I just started learning Java and can do simple tasks like OOP concepts.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Python,I completed an introductory course on Python.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Web Development,I can write very basic Web Development programs involving REST APIs.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Python,I completed an introductory course on Python.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
SQL,I can write very basic SQL programs involving subqueries.,Beginner
Machine Learning,I can write very basic Machine Learning programs involving training models.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like threat detection.,Beginner
SQL,I can write very basic SQL programs involving optimizing queries.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like incident response.,Beginner
Python,I completed an introductory course on Python.,Beginner
Web Development,I can write very basic Web Development programs involving deployment.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving threat detection.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Python,I just started learning Python and can do simple tasks like building Flask apps.,Beginner
Python,I just started learning Python and can do simple tasks like automation.,Beginner
Data Science,I can write very basic Data Science programs involving exploratory analysis.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Java,I completed an introductory course on Java.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
SQL,I can write very basic SQL programs involving INSERT queries.,Beginner
Python,I can write very basic Python programs involving basic scripts.,Beginner
Java,I can write very basic Java programs involving enterprise applications.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like frontend frameworks.,Beginner
Java,I just started learning Java and can do simple tasks like OOP concepts.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like deep learning.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Python,I just started learning Python and can do simple tasks like building Flask apps.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Communication,I can write very basic Communication programs involving technical communication.,Beginner
Cloud,I just started learning Cloud and can do simple tasks like basic concepts.,Beginner
Java,I can write very basic Java programs involving JVM tuning.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Java,I just started learning Java and can do simple tasks like enterprise applications.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Data Science,I can write very basic Data Science programs involving feature engineering.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
Java,I just started learning Java and can do simple tasks like OOP concepts.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like neural networks.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Java,I completed an introductory course on Java.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like feature engineering.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like network basics.,Beginner
Python,I just started learning Python and can do simple tasks like data analysis with pandas.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Cybersecurity,I just started learning Cybersecurity and can do simple tasks like incident response.,Beginner
Data Science,I completed an introductory course on Data Science.,Beginner
Cloud,I understand only the basic concepts of Cloud.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like linear regression.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Communication,I understand only the basic concepts of Communication.,Beginner
Java,I just started learning Java and can do simple tasks like multithreading.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Java,I completed an introductory course on Java.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
Python,I can write very basic Python programs involving basic scripts.,Beginner
Java,I just started learning Java and can do simple tasks like multithreading.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Cybersecurity,I understand only the basic concepts of Cybersecurity.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Java,I can write very basic Java programs involving Spring Boot apps.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like data visualization.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Java,I just started learning Java and can do simple tasks like Spring Boot apps.,Beginner
Cloud,I can write very basic Cloud programs involving serverless computing.,Beginner
Python,I just started learning Python and can do simple tasks like basic scripts.,Beginner
Java,I completed an introductory course on Java.,Beginner
Cybersecurity,I can write very basic Cybersecurity programs involving incident response.,Beginner
Python,I just started learning Python and can do simple tasks like automation.,Beginner
Web Development,I completed an introductory course on Web Development.,Beginner
Web Development,I just started learning Web Development and can do simple tasks like REST APIs.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Communication,I completed an introductory course on Communication.,Beginner
Cybersecurity,I completed an introductory course on Cybersecurity.,Beginner
Python,I completed an introductory course on Python.,Beginner
Java,I completed an introductory course on Java.,Beginner
Data Science,I can write very basic Data Science programs involving model training.,Beginner
Java,I just started learning Java and can do simple tasks like enterprise applications.,Beginner
Java,I understand only the basic concepts of Java.,Beginner
Web Development,I can write very basic Web Development programs involving REST APIs.,Beginner
Communication,I can write very basic Communication programs involving presentations.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Machine Learning,I understand only the basic concepts of Machine Learning.,Beginner
SQL,I completed an introductory course on SQL.,Beginner
Machine Learning,I just started learning Machine Learning and can do simple tasks like linear regression.,Beginner
Python,I can write very basic Python programs involving printing Hello World.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Data Science,I can write very basic Data Science programs involving deep learning.,Beginner
Machine Learning,I completed an introductory course on Machine Learning.,Beginner
Communication,I can write very basic Communication programs involving mentoring.,Beginner
Communication,I just started learning Communication and can do simple tasks like mentoring.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
SQL,I just started learning SQL and can do simple tasks like optimizing queries.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Web Development,I can write very basic Web Development programs involving HTML/CSS basics.,Beginner
Python,I just started learning Python and can do simple tasks like basic scripts.,Beginner
Python,I understand only the basic concepts of Python.,Beginner
SQL,I understand only the basic concepts of SQL.,Beginner
Data Science,I understand only the basic concepts of Data Science.,Beginner
Web Development,I understand only the basic concepts of Web Development.,Beginner
SQL,I just started learning SQL and can do simple tasks like subqueries.,Beginner
Data Science,I just started learning Data Science and can do simple tasks like deep learning.,Beginner
